time_start_loading,time_sweeping_start,time_bfgs_start,time_done
114247.376107915,114247.384858263,114263.012133551,114302.871274912
127763.263340879,127763.272043726,127779.008900012,127817.064156221
128513.01624058,128513.025341106,128528.620105746,128567.199942959
114450.391841239,114450.404755221,114465.960701326,114505.298041925
114130.920449976,114130.92925202,114146.61865238,114183.837088278
114194.547452031,114194.557358956,114210.379896938,114249.836880598
114499.470689088,114499.479745565,114515.071289345,114552.142941598
128255.002425392,128255.012053875,128270.879930958,128311.599913677
128078.920042647,128078.929274189,128094.498290742,128131.025955863
114460.349901445,114460.359269569,114475.883917348,114513.31889277
114355.892024457,114355.902105324,114371.616470388,114411.41109064
127819.651855823,127819.660504875,127835.327834371,127875.674935483
114300.278773029,114300.289169778,114315.820604907,114355.850621976
127709.386478293,127709.417394883,127725.471231294,127763.330047933
114457.528379523,114457.537185248,114473.111244907,114512.363129725
114292.849835803,114292.858676955,114308.689072374,114348.671335712
114519.177878252,114519.186693946,114534.853566633,114575.602228847
114445.272459453,114445.281747025,114460.918357018,114497.426100112
127764.469210666,127764.481950959,127780.146691825,127818.338870822
114297.900707493,114297.909734633,114313.509057808,114351.408694346
128132.242438457,128132.252263808,128147.96637048,128187.386460576
114576.194922658,114576.204501848,114591.730250743,114631.590601554
114560.74320968,114560.752311984,114576.338872209,114615.878562918
114245.400614741,114245.409368753,114261.102713743,114299.536593083
114560.231445886,114560.243747533,114576.042228248,114615.968616022
113866.454906964,113866.472182373,113882.597850834,113920.515977899
114452.841476657,114452.851493027,114468.444956567,114508.415059816
127870.547388676,127870.556186169,127886.18896227,127924.089219852
113972.585298402,113972.594216893,113988.262483234,114025.409292527
128246.227296887,128246.235994989,128261.946263043,128302.27047337
114524.850789563,114524.859609085,114540.470999288,114581.01537951
128194.574850869,128194.584608326,128210.280408088,128248.829932479
114291.431864027,114291.441271717,114307.039883416,114344.787355149
114307.196771537,114307.20659757,114322.795154482,114359.589051873
127819.483205934,127819.492039954,127835.117536883,127875.395675995
114628.099123864,114628.10795614,114643.814577377,114683.051531069
128190.340352903,128190.349215177,128205.839497565,128243.278062135
128423.430066703,128423.440517173,128439.037809243,128478.883592151
114249.84161731,114249.85165567,114265.480760189,114303.53120424
128399.761301518,128399.77137064,128415.468364765,128453.322335923
114351.412416413,114351.421079869,114367.191704871,114405.11774392
127974.31536518,127974.324387461,127990.01921301,128026.773869784
128140.945967853,128140.95867232,128156.554945016,128196.727298678
128515.298794254,128515.307860774,128530.987469943,128570.543977776
128478.887597899,128478.897907608,128494.412296492,128534.753383472
114501.91262736,114501.922079907,114517.534326474,114554.305743271
128350.457600956,128350.466468132,128366.240512903,128404.449560601
114182.522250393,114182.531425955,114198.08958331,114235.07217101
114413.456946777,114413.469746692,114429.10057166,114468.874655998
114190.557619895,114190.566388465,114206.034476575,114244.687597625
114290.979211181,114290.988511154,114306.745694566,114344.391610492
128249.266936352,128249.27567957,128265.114557853,128303.412770761
114243.257930308,114243.266994515,114258.774648224,114296.461521812
127762.392037157,127762.403872588,127778.195432767,127818.396928645
114349.337071024,114349.345819042,114364.7260258,114403.013430017
127763.84437725,127763.853251941,127779.468759502,127816.474961235
128194.158030316,128194.168418816,128209.969358958,128247.993980377
127709.484942718,127709.495579563,127725.544620183,127764.340780546
113866.520464135,113866.531295842,113882.294406555,113920.140412796
114460.214262687,114460.227449513,114475.763835787,114516.540855689
114409.791023988,114409.7997698,114425.338544224,114463.427871562
128400.006349025,128400.015018205,128415.038039354,128451.955946259
114024.988517255,114024.997608465,114040.489456791,114077.913699474
113972.062163571,113972.071380775,113987.76282365,114024.984741859
127980.402842106,127980.413478387,127996.041766444,128033.870916431
127871.82749086,127871.836202296,127887.436309969,127926.114183482
127764.103867852,127764.113632034,127779.812475335,127819.288775291
128423.302955044,128423.313369394,128438.97761776,128476.404596079
128415.908184396,128415.917134079,128431.734342182,128470.769476756
114631.977333702,114631.986127124,114647.690912858,114687.732502434
114405.394519898,114405.403480111,114421.099412281,114459.223313956
113920.200740046,113920.211221661,113935.891563229,113973.749791522
128089.931088065,128089.940231837,128105.639225415,128142.893981287
127709.417737266,127709.427452526,127725.032246442,127763.359823153
114080.629129039,114080.637681208,114096.188174327,114134.578319263
114574.467317076,114574.476795162,114589.974564496,114629.346326484
127926.433023934,127926.441750411,127942.115874983,127981.074360536
128301.774648521,128301.783254339,128317.485499216,128354.876675911
128346.175865005,128346.184743112,128361.873133092,128399.323350207
128422.647868446,128422.656672678,128438.255168577,128476.020040714
114665.848354876,114665.858857278,114681.515921077,114721.548837757
127816.01949518,127816.02865974,127831.489115265,127868.444089761
127816.998046952,127817.006851495,127832.899545663,127871.015707116
128295.711902422,128295.720930266,128311.239326531,128349.221924108
114414.642180631,114414.652011956,114430.280511279,114469.994674535
114574.945509831,114574.954416129,114590.52652529,114629.615530302
114406.143489824,114406.152780302,114421.822796455,114462.105518706
127920.526456291,127920.535613342,127936.220499332,127972.888611078
114027.386339939,114027.39530674,114043.234561232,114081.741925833
114184.934864932,114184.944462653,114200.589798979,114238.494776704
128301.255311269,128301.264400354,128316.874176116,128354.019364834
127979.635659229,127979.644525402,127995.467095373,128035.17906326
128241.200329316,128241.209645824,128256.91310623,128294.334652056
128137.155221725,128137.164241386,128152.908060468,128190.401362172
114188.346913869,114188.356462335,114203.985118513,114241.417242885
128081.158288861,128081.16735869,128096.83953732,128134.497584795
128310.163719504,128310.172388334,128325.117757107,128365.205991938
114634.379093491,114634.3898541,114649.980864299,114688.2886348
114665.020166185,114665.032949066,114680.613173156,114721.182607309
128502.751298947,128502.76029502,128518.290053614,128558.410372344
127763.756228629,127763.768922202,127779.446237315,127819.287866742
128296.803674217,128296.812442428,128312.257541395,128349.611315856
