time_start_loading,time_sweeping_start,time_bfgs_start,time_done
80081.437542996,80081.447843062,80100.045562753,80147.554215713
80408.302900746,80408.312405783,80425.323331747,80468.757270507
79829.673031663,79829.682959582,79847.878701716,79891.143231292
1585.38488074,1585.401318214,1606.698370415,1649.425523741
80150.465273823,80150.475311989,80168.070106211,80213.580631125
1835.271384891,1835.285131329,1853.484964902,1898.415143584
1644.527265679,1644.537284647,1662.948164301,1704.677452539
2197.976459377,2197.986311349,2215.964983385,2261.757370164
80386.313237636,80386.323702271,80404.210749641,80448.530143478
80202.538336825,80202.553548395,80221.88296042,80266.895947674
1884.57955949,1884.588988553,1902.40342462,1942.953313034
80076.069039673,80076.079164038,80094.220336097,80137.741644614
80258.995696416,80259.005502347,80277.189823479,80320.252223161
2077.436745074,2077.446846605,2095.368506872,2140.543958628
2150.917903629,2150.927581452,2168.576536261,2213.214605448
80069.562582223,80069.577408058,80087.745158883,80130.100765158
80034.125259872,80034.139335739,80052.154835816,80096.771539532
79969.322002828,79969.336961529,79987.939125697,80034.12069722
2064.603585485,2064.61364315,2082.046912793,2128.887010389
2188.338293355,2188.348293236,2206.052997722,2248.507760554
2010.110263794,2010.125070523,2028.429178427,2071.332847931
80307.128078455,80307.143221439,80324.620989731,80366.15882392
1888.351357939,1888.361511735,1906.399479199,1950.722935087
80312.971630294,80312.984686907,80335.079923919,80379.976670397
1826.65172977,1826.661368948,1844.919519548,1887.053455699
2126.813418644,2126.823083829,2144.389171892,2189.724449298
80376.845896736,80376.855710721,80394.443855377,80436.176173015
80405.228016233,80405.238095242,80422.550301805,80465.206715154
80197.518949044,80197.5286025,80215.937491624,80260.227547522
2155.811417969,2155.82561833,2173.096293551,2218.576156751
79708.578912174,79708.590044065,79726.619457347,79767.936699462
1943.794385328,1943.8040602,1961.410102205,2003.222963115
1646.990422945,1646.99997072,1665.094156913,1706.956421559
79768.590734501,79768.604079271,79786.755011587,79828.496462229
1957.708357518,1957.720239199,1975.943692396,2024.312585567
2209.057499933,2209.069024876,2226.7644213,2270.820518508
79708.590663635,79708.605467925,79727.730927718,79769.577576135
80132.323985514,80132.337467132,80148.570589949,80194.437429121
2126.646781265,2126.656367408,2144.485962103,2187.485011556
80194.441416964,80194.457265869,80212.447442265,80257.425292972
80453.543927504,80453.558020857,80473.683446283,80519.032123437
79893.824983629,79893.835170356,79911.750834256,79954.588934778
2324.078868535,2324.088795056,2347.065747862,2390.824488172
79950.523398101,79950.533808597,79968.573544665,80011.783689941
80195.959283659,80195.969011578,80214.025916026,80256.716642947
80511.178004441,80511.188255303,80528.831358249,80573.956479574
80266.899567695,80266.909983467,80284.564028096,80329.70253405
2309.934371215,2309.944426013,2327.281684974,2369.725457866
1706.999209254,1707.009361353,1725.472643784,1768.161615166
1825.110744036,1825.125549508,1843.227827184,1885.601633153
2115.388951593,2115.402537051,2139.049927713,2191.712136322
1828.092195942,1828.10206465,1846.299340063,1888.794418405
79893.450400892,79893.465498623,79917.261516495,79962.686479886
80322.557650367,80322.573412069,80340.305616885,80382.781933729
79708.303251479,79708.313894804,79727.956443748,79770.818004779
80495.166440312,80495.17628679,80512.608182687,80554.021681984
79830.12734557,79830.137124792,79848.132670598,79890.460752435
79708.30765825,79708.317710942,79726.503999648,79768.426162939
1945.894405131,1945.904339392,1964.12038433,2006.063026871
1705.223332169,1705.233503125,1723.591669111,1765.578734613
1955.542212964,1955.552255825,1981.593650709,2026.337387283
1969.67022301,1969.680452593,1987.006922107,2031.159151129
1584.768371699,1584.788963317,1602.797476887,1644.231330858
1831.446495806,1831.45649268,1849.680919896,1892.270915109
1822.699259513,1822.709080499,1840.54383456,1882.090441471
1830.989350244,1830.999126294,1849.199449415,1892.150627901
79889.126935554,79889.140866998,79907.224959845,79949.230548037
80438.499685389,80438.515022811,80458.125060786,80502.64397242
80136.324639318,80136.3401155,80155.023064661,80199.862511558
80258.586025856,80258.595998059,80276.267418339,80320.530997224
80328.465118577,80328.479633374,80346.704892085,80388.870990124
1831.260289254,1831.269881471,1849.756282764,1892.782686987
79768.522085245,79768.53190397,79786.525814903,79828.440234464
80133.504660079,80133.514600346,80151.299487981,80194.543081197
80195.702240404,80195.71378846,80213.734042146,80260.723356945
2008.932060097,2008.942309707,2027.658224176,2071.121545968
79954.391452915,79954.40248816,79972.346192713,80014.524196921
1884.87126655,1884.884693834,1902.627886925,1944.417454785
1707.01931985,1707.033931913,1726.319056687,1768.820247251
1884.954022773,1884.963803151,1903.045626931,1945.890948567
80011.365228202,80011.375577176,80029.548039628,80071.893009483
80200.236976643,80200.250215522,80217.966714038,80260.423380658
1646.051737611,1646.061769585,1664.845970105,1707.085462645
80068.871622153,80068.881247892,80087.082387052,80129.540860913
1585.223151309,1585.236946608,1603.421806202,1646.802629814
80294.985313402,80294.99958446,80312.336318494,80358.310332605
2015.150943796,2015.16125102,2032.77930431,2077.547086305
2009.904913231,2009.914950751,2027.705020534,2070.797211269
1709.322923693,1709.337149244,1728.152352705,1772.960897679
1646.075565455,1646.085426451,1664.494693732,1707.75961098
2187.174095435,2187.183539328,2204.938604605,2247.126404089
80482.341819025,80482.356768025,80499.75086404,80546.28668847
79769.173465345,79769.183281245,79787.401403725,79829.853776685
80073.278417071,80073.288318284,80091.559170351,80135.453889396
1830.493229049,1830.503081886,1849.085730794,1890.517610475
1706.512184211,1706.526982149,1734.080976993,1788.126844397
1584.968870097,1584.978911789,1603.120421592,1645.075134843
80009.122724819,80009.132940756,80027.093008703,80069.000921496
1585.262441117,1585.273202488,1603.390235384,1644.710205134
80133.825739402,80133.835703756,80151.98860252,80194.741823841
1946.454892656,1946.469226025,1964.206172306,2007.800839065
1786.477366858,1786.487228826,1803.976337307,1845.986099608
80256.860076331,80256.870157054,80274.808474988,80319.711407158
80071.231719317,80071.241853601,80089.036452686,80131.053121245
1706.333540961,1706.343543524,1724.868257724,1767.597055869
80014.179966968,80014.190299882,80032.113964326,80074.335650342
80341.650759097,80341.660694777,80358.964734262,80401.912735605
2019.231935904,2019.242530399,2036.896685783,2081.24054058
1830.617580263,1830.631784561,1849.098854508,1891.665932556
1888.114546181,1888.124694065,1906.20366223,1951.082329754
79887.639579936,79887.649458376,79905.913523621,79948.073652252
79770.249294622,79770.259019406,79788.485006499,79830.861242281
2014.118241441,2014.128321539,2032.378648891,2075.347770334
80073.082449971,80073.092223187,80091.276146937,80134.119143911
80324.979586657,80324.990643257,80342.614113084,80385.452771938
79708.538646141,79708.551169335,79726.562954653,79769.672809778
79708.430003304,79708.440738106,79726.660515601,79768.137844585
79768.759222103,79768.768791496,79787.015486778,79831.686134698
80436.180718358,80436.196234736,80454.247792176,80496.767310272
2248.092538256,2248.103615565,2265.545735006,2308.063917059
2076.506057378,2076.516225718,2094.028914543,2137.77580551
79768.679726613,79768.689527483,79787.026410915,79829.510783801
1645.841758847,1645.856153625,1664.295583645,1706.44286239
80373.128212314,80373.137521922,80390.572213477,80432.870576234
1645.930108433,1645.939936294,1664.100007453,1706.460080339
79827.374661065,79827.384158281,79843.623910958,79885.284509897
2151.98475438,2151.99461802,2169.577896199,2215.13320945
80358.314911943,80358.329433323,80375.599343991,80420.156536397
1646.218991143,1646.228773438,1664.612791271,1706.795357531
1584.899385991,1584.909221969,1602.725281262,1644.440070937
1824.087204178,1824.096900836,1842.0696745,1883.780137184
1585.269169296,1585.280387614,1603.605260534,1646.102083646
79888.454738017,79888.464508447,79906.67642444,79948.594641394
2174.868804269,2174.878372732,2192.197333257,2236.860700645
80010.362276643,80010.37648696,80028.540919019,80073.665281938
79886.059901171,79886.071989818,79905.370702185,79948.319150569
2373.605648116,2373.618618559,2390.913248705,2434.324868152
1585.374132042,1585.385709749,1603.53044201,1645.611189646
1781.45718465,1781.471150807,1798.798950032,1840.365463484
2252.176972602,2252.186654703,2269.997326438,2313.569873139
1820.147213449,1820.16256103,1837.974452779,1878.865402039
2002.673509786,2002.682891984,2020.334630695,2062.216273661
79767.135918594,79767.148330579,79785.954609487,79827.767620449
1707.951518176,1707.961696215,1725.787631135,1769.452678805
1887.386621801,1887.396727975,1905.50112633,1947.119026867
79829.976130817,79829.986078174,79848.139108345,79891.204228399
1765.929113358,1765.939261324,1783.804929986,1825.611645274
79967.254167251,79967.265226673,79984.604237319,80029.847924709
1768.693538362,1768.703861303,1786.317969758,1828.708651623
79790.425076724,79790.435058999,79807.646042892,79850.245127613
1946.473910312,1946.487394577,1964.235637457,2006.274241816
80131.141062833,80131.150792362,80148.843372364,80190.362405606
1823.053296986,1823.063123182,1840.817182804,1882.297774862
80377.402789877,80377.416953354,80395.274602425,80438.778703069
1828.090925965,1828.100619877,1846.413879098,1888.633583586
80067.608899893,80067.618787771,80085.396960784,80126.964877343
1645.623254457,1645.637755428,1663.514403614,1705.088170516
2372.429923055,2372.44484849,2389.685302821,2434.831843405
80432.483718613,80432.493563298,80450.206599443,80496.072795403
2031.163085293,2031.179604277,2048.800449282,2092.644761442
1647.24526886,1647.259696911,1665.943203339,1710.786508906
1947.122976138,1947.134227656,1965.529175387,2008.008688152
1951.594775365,1951.605236561,1969.645809003,2012.658780243
1651.327825254,1651.342496572,1669.437641373,1713.148104722
2236.864935092,2236.874661488,2254.198616391,2298.746970704
80369.70976305,80369.719795408,80387.230900126,80430.057243629
1646.026647448,1646.040445091,1665.001010491,1707.764031057
80203.266562956,80203.280967373,80221.122182102,80262.81717387
79829.945389876,79829.960255369,79849.655285082,79893.445814064
79951.6736743,79951.683931409,79969.722740903,80012.265604138
80320.25557916,80320.26563873,80338.143545772,80380.860087842
80378.73530648,80378.744799294,80396.513829404,80439.140246328
80079.854863892,80079.869194096,80098.017381759,80145.200580884
80256.010333053,80256.019835727,80274.197035217,80317.372593952
1706.233601063,1706.243359327,1723.986263987,1765.92546854
79954.639085785,79954.652657681,79972.522288991,80015.694826938
80491.251067269,80491.260810027,80508.597437587,80550.862052765
80372.896237365,80372.906434151,80390.72738209,80434.117772633
79768.785761412,79768.79542686,79786.826445914,79829.767856979
1828.70975991,1828.719804586,1846.886250768,1889.089272782
1772.261506719,1772.271351955,1790.708528796,1833.026979886
2216.793176816,2216.807211807,2234.38332294,2281.960212831
2081.686271806,2081.700753903,2099.585303453,2141.880678352
80495.504282291,80495.513913462,80512.737188933,80554.951314772
79708.588665667,79708.603415331,79726.762032666,79769.229390603
2321.386041846,2321.395772661,2339.483735282,2383.067961009
80191.902953586,80191.912938103,80209.887748971,80252.95696099
1825.639354898,1825.649551785,1843.848805715,1886.167838024
2258.413457228,2258.425808922,2276.000801988,2318.094373292
79708.46400506,79708.478394016,79727.062843904,79769.695141713
2135.140729234,2135.154075723,2152.924814807,2195.408838962
79768.928102716,79768.937645126,79787.055889674,79829.026471198
2197.900434253,2197.910089597,2215.695563359,2260.222309526
80260.727338225,80260.737352129,80278.764524545,80324.420401352
1831.911606784,1831.921596093,1850.322772092,1891.827198493
79708.466879785,79708.477978051,79726.535854337,79768.49483495
80342.110623211,80342.120611573,80359.764042282,80402.730443904
80411.598164923,80411.607882962,80429.174384426,80473.747785601
79950.269456277,79950.282339641,79968.450432669,80010.400249487
1824.83117745,1824.840946597,1842.741228914,1884.867547897
2191.725795205,2191.735723408,2209.626809934,2252.173195313
2126.169225586,2126.178725594,2144.117891485,2186.517970581
79830.482125,79830.491867962,79849.449397592,79893.272124997
80255.57606139,80255.586176099,80273.897143033,80317.061100721
79891.824127104,79891.834299743,79909.982229052,79952.919562362
79888.596048868,79888.605683946,79906.700107047,79948.789323276
80396.019947032,80396.032183678,80421.994960388,80470.782460414
1975.940691553,1975.950637081,1993.142887577,2035.328494165
80132.044031422,80132.054047877,80150.05510377,80192.986324155
80010.305035561,80010.315057912,80028.342487616,80069.983058511
80013.752156754,80013.76225388,80031.65024338,80073.954858892
1823.430448784,1823.440562752,1841.269534817,1883.590156527
1585.262810886,1585.276824763,1603.406971591,1644.640225728
1891.071062539,1891.081087747,1909.114252064,1951.20092777
2125.316804426,2125.326614228,2143.154192935,2185.693747718
1585.373940875,1585.387434416,1603.486551102,1645.471469893
80308.852949072,80308.868727606,80326.67243832,80373.486378842
2242.782381312,2242.792200606,2259.973665959,2302.155536252
1940.125972063,1940.135755976,1956.067258378,1997.436949373
80510.153396782,80510.163385918,80527.735367448,80571.626309096
2260.686359963,2260.696184849,2278.224307714,2320.530207711
79834.637334749,79834.651611664,79852.703293538,79897.703103822
79888.605788318,79888.616094104,79906.713618898,79949.004405996
1645.614815517,1645.624722611,1663.752293551,1705.770086938
80321.986998067,80322.002031218,80339.888166463,80382.354415903
1703.132067666,1703.142262216,1720.892824803,1761.721185154
1585.388838548,1585.40362675,1603.480247817,1644.638242535
1646.619179731,1646.634255655,1665.303495791,1708.271077576
1883.53311917,1883.543439265,1901.565077911,1944.155381107
1645.253182809,1645.266616885,1663.621272846,1705.860042538
2009.296717521,2009.311531484,2027.616042976,2069.503143919
80130.586418227,80130.59632034,80148.286798237,80190.973497324
80012.269532331,80012.279893208,80030.258787205,80072.826097147
80069.986646493,80069.996264888,80087.682556412,80129.254272779
1646.170884943,1646.180770636,1664.171613688,1705.706850878
1884.122071781,1884.13225391,1901.946927252,1943.761165023
80134.455344217,80134.465369409,80152.818015993,80195.269829356
80503.636489742,80503.64610344,80521.283020997,80563.796529285
2185.697544455,2185.707098851,2203.215769982,2245.352773768
79948.447876033,79948.457576163,79966.666278225,80008.811855053
80505.611015594,80505.620670922,80523.437538194,80566.336994921
2324.083316171,2324.096980555,2341.314569159,2388.120155047
2006.11871819,2006.131773507,2023.975673782,2065.521517727
2133.728262448,2133.741487805,2151.796154727,2196.173421477
2308.764256458,2308.773962918,2326.664297025,2375.486649385
80009.402992865,80009.412268089,80027.560984395,80070.5611642
80162.256975299,80162.267016973,80179.953707578,80224.649600477
79768.489132382,79768.499085036,79787.119649161,79829.780331135
80330.746067551,80330.756500554,80348.263750627,80391.15726683
80246.608303576,80246.618056404,80264.276678789,80306.868174534
79891.395705534,79891.40590263,79909.239031928,79951.623803115
80374.051652422,80374.061953961,80391.939027427,80445.276384996
80331.157067863,80331.166721567,80348.576221251,80393.434034472
1953.053485301,1953.063382591,1970.618296004,2012.470236461
80365.143924798,80365.155551263,80385.846367574,80427.814752093
80070.041497865,80070.05133264,80088.28499173,80130.732021994
2066.209218365,2066.219102136,2090.438371158,2133.05817868
1585.276833279,1585.288593727,1603.469372456,1646.15674306
1905.229872259,1905.239649802,1922.669424977,1966.843194074
2304.388998268,2304.398522558,2321.688875714,2362.687473844
1828.266434769,1828.276240255,1846.829056806,1889.174482597
2201.063279072,2201.072953192,2218.609109976,2262.607976226
2060.843462542,2060.858470348,2081.207646804,2126.809411565
80142.386996579,80142.397500967,80160.262480867,80202.533884201
1646.176465432,1646.190534025,1664.66978968,1707.761971186
80127.073672962,80127.088506167,80144.949710897,80186.967836763
80395.808953143,80395.823879428,80413.188596868,80458.687400173
80070.051522798,80070.06570174,80088.414969181,80130.742664992
79708.587333127,79708.602401308,79726.836659462,79768.919030576
79708.488838055,79708.50024605,79726.527476408,79768.467338919
79708.457702288,79708.471897209,79727.092710469,79771.552359443
1705.092485841,1705.107948995,1723.33390056,1766.07581079
1646.701779252,1646.711787711,1666.200893377,1709.228720908
80375.062438917,80375.072883061,80392.8215924,80435.557329043
2071.336566816,2071.346667235,2089.463517448,2131.614424308
80263.238506695,80263.248789389,80280.59152313,80324.012654751
80308.273011962,80308.282890752,80325.78300147,80368.34684321
2195.183867757,2195.193707722,2213.182619139,2256.757619489
2323.595857591,2323.605734086,2341.125015211,2384.623521112
2298.026388171,2298.040446404,2315.391968441,2356.451452115
80320.535220552,80320.545511149,80339.114819134,80385.059225977
80458.204585864,80458.214485004,80475.770869229,80521.507570053
1888.304175453,1888.31427798,1906.379065214,1948.826128874
80197.091392387,80197.110635405,80214.999343858,80259.578554553
1830.976180722,1830.986577833,1848.872193976,1891.067395004
1644.536354644,1644.546000738,1662.919084458,1704.947247292
80191.608000443,80191.617789561,80209.59661853,80252.073172207
1765.123127983,1765.132679475,1783.532294813,1824.920944369
1766.314479171,1766.323951521,1784.754415583,1827.077993041
1883.897917917,1883.907925152,1902.375625909,1944.054004009
2264.164508856,2264.17434197,2282.048434843,2325.864909391
2065.468568811,2065.482786873,2082.934142452,2124.093964808
2017.881096895,2017.89130076,2035.511475067,2077.124237987
2035.332453837,2035.344750675,2052.691593831,2096.091834491
2069.611582159,2069.621461821,2087.539121235,2129.010231381
79826.546836986,79826.55680891,79844.573509969,79886.929064507
80380.863856019,80380.873295839,80396.875776312,80438.947721508
80516.711504193,80516.725048443,80534.404756219,80579.623158865
1584.764066574,1584.789026538,1604.061121037,1647.012223291
80133.946482957,80133.955948073,80151.844822686,80194.961752285
2362.924258239,2362.934071683,2380.535784983,2423.430785335
80448.38614329,80448.395646303,80465.880075973,80508.8374395
80080.782093406,80080.792375938,80098.934309856,80143.961284235
80318.856311007,80318.866481762,80336.649337641,80384.256079507
1884.239936945,1884.249575451,1902.141098279,1943.790727728
2116.226041887,2116.23564834,2133.600472315,2175.558614479
2263.444260655,2263.454112274,2281.331419236,2324.371582631
80159.182351876,80159.195695322,80176.723020704,80221.834232447
2330.580656138,2330.590199273,2348.115896732,2391.943388353
80374.587136555,80374.596615411,80392.148398653,80434.082039202
80251.213384417,80251.227546955,80271.819301757,80317.536534725
2249.580551783,2249.590427897,2267.030724868,2308.86505575
80132.44330532,80132.458284339,80151.121595526,80194.295447727
1826.958691937,1826.970774703,1844.752280644,1886.87491641
2191.298810275,2191.308553524,2209.156794835,2251.88775675
1768.371000334,1768.380927817,1786.721713426,1829.732417736
2201.756263913,2201.766163346,2219.675514617,2263.055373081
1824.515690715,1824.526092436,1842.520169139,1884.894324644
2093.768372433,2093.784992023,2113.295765261,2155.806946557
1585.387144109,1585.401677172,1603.64752856,1645.427906352
79829.033618207,79829.043071578,79846.844422478,79888.960500006
2268.19746595,2268.21134587,2285.489329352,2327.574615927
79906.045269749,79906.055198957,79924.272448833,79969.558463497
80015.261846124,80015.271670131,80033.288122928,80077.247076217
2087.683579798,2087.698431084,2106.12714465,2150.913993495
79894.869416571,79894.886269971,79913.622983164,79957.158895454
79974.095100656,79974.104808802,79991.470979024,80033.371925007
79831.259459037,79831.269724049,79849.295738699,79892.334465511
2311.705317086,2311.715347797,2329.7116222,2375.372680202
2270.510769391,2270.520763624,2288.343467783,2334.599939861
80134.665489399,80134.680100805,80152.813854996,80197.551572586
