Qubits,Nodes,GPUS,pilotStartupTime(Sec),runTime (Sec)
31,1,4,4.6,652
32,2,8,5.9,720
33,4,16,5.5,890
34,8,32,5.8,1332
35,16,64,5.7,1824
36,32,128,6,2100
37,64,256,5.9,2476
