number_of_nodes,mean,std
1,24703.21967424662,44.61732474710844
2,12826.220140382415,29.29030196503274
4,6519.703962859358,64.4569844377958
8,3494.691933842764,119.6869821151112
16,1963.0358973315451,47.13830401009031
32,1607.1053040251136,92.68487950451033
