time_start_loading,time_sweeping_start,time_bfgs_start,time_done
108327.009595066,108327.025245873,108357.564204615,108429.217011028
108328.4540333,108328.468245284,108359.169255268,108430.690141572
21978.080813373,21978.096168747,22009.315347024,22080.386499527
108135.197267191,108135.21379192,108166.548211506,108242.697607301
108455.178152343,108455.194709224,108485.944683993,108563.665463042
107919.115590917,107919.126148139,107950.476641806,108022.86947513
108136.922218007,108136.939372634,108167.878207644,108244.723996458
21982.203994904,21982.22061454,22013.580597142,22085.952410004
22089.205655381,22089.221709782,22120.170371441,22193.95577246
108338.813328124,108338.82913816,108370.213134458,108442.80604599
22179.502254033,22179.518506013,22210.013043184,22280.760581116
22079.947032557,22079.963359096,22110.133563981,22181.991651341
22308.507851405,22308.52375861,22338.700554458,22414.604203814
108441.62989703,108441.643047503,108468.808625448,108539.129598347
22376.070368517,22376.086510981,22406.256962524,22477.804123729
108532.608752701,108532.625570046,108562.078893982,108632.56176446
21977.123002584,21977.138607953,22008.489051241,22079.496846448
107919.451808867,107919.463337436,107950.151649021,108021.552425934
22388.733901541,22388.749446684,22418.860201194,22490.89861402
108428.566818443,108428.582600465,108459.023679218,108534.228302686
22393.586099974,22393.602085531,22424.288204375,22500.478975159
107919.602179506,107919.618593948,107951.115088546,108022.762548516
108130.525577762,108130.541314558,108161.238734703,108235.057313332
21980.096780185,21980.113408838,22010.878174952,22082.542312249
21878.375888264,21878.392925368,21909.721768294,21983.227978774
108335.617840849,108335.630532824,108366.536241577,108437.828955803
108132.609426395,108132.626299277,108167.138006903,108241.356821334
108223.933480596,108223.949540361,108254.498248456,108325.530855156
108348.241407342,108348.256923459,108379.187675143,108455.174137469
108343.411904799,108343.428031716,108374.377683772,108449.523673758
108026.087314951,108026.104970311,108057.357105279,108128.992038763
22378.564975464,22378.581663288,22409.301254163,22482.869597027
108131.548621294,108131.564848879,108162.393799406,108235.747173422
108429.872158335,108429.897079622,108460.434358319,108537.629976762
108324.916834525,108324.933086986,108354.654591634,108431.130076785
22500.208308493,22500.223676686,22531.649682002,22603.912222137
22285.233710031,22285.24940824,22316.232088722,22390.229039342
21773.705706604,21773.715724683,21804.570978006,21874.343489933
22268.978987475,22268.99237446,22297.931541089,22369.698476026
