time_start_loading,time_sweeping_start,time_bfgs_start,time_done
952487.926456828,952487.961947531,952550.378595397,952725.678190157
952766.22248072,952766.263354039,952829.016802797,953019.296096132
952502.627380242,952502.669811468,952605.139604483,952801.347404922
952263.14366957,952263.169121726,952323.734495412,952459.417842459
952263.29586074,952263.337997596,952318.19363687,952534.542713017
952674.182957944,952674.221284247,952730.382579258,952909.16975316
952667.61805882,952667.656867193,952748.526735105,952992.806282471
952653.178190268,952653.217169189,952698.536220299,952827.155296379
952250.496186575,952250.509844145,952316.372952824,952475.6380976
952272.907105427,952272.959388438,952306.021174688,952531.581666577
952456.527129585,952456.559900737,952501.175086411,952661.495664671
952679.338049948,952679.353465198,952733.001219146,952847.148881882
952497.554914878,952497.588679419,952545.132830465,952668.722240058
952728.865818371,952728.901053721,952789.180710646,952891.922850615
952440.738323135,952440.76917204,952479.740671084,952581.464380989
952831.202696903,952831.23706869,952882.44810758,952998.53029613
952267.112469685,952267.161744973,952310.298770655,952456.506321662
952854.912053231,952854.950966091,952898.298373182,953078.72630293
952727.678469362,952727.721427499,952799.315189345,952931.868158853
952664.130120508,952664.17224001,952722.339255506,952879.740991627
952267.340584122,952267.403032289,952303.709274171,952434.768777187
952588.420168111,952588.436301211,952666.071722477,952859.936693814
952774.513303445,952774.55197837,952912.722582591,953025.603638433
952274.316696812,952274.443184593,952337.277717641,952565.943138336
952511.610458996,952511.651384833,952577.487449507,952735.107511594
952825.270107706,952825.303270382,952891.838018134,953087.071797397
952694.306135014,952694.362893424,952736.355559217,952900.771564502
952381.344133981,952381.403253698,952442.621600251,952646.961951854
952492.119146177,952492.216208423,952533.608014309,952661.791066979
952687.472255704,952687.504379656,952734.13105679,952876.149650337
952531.716139157,952531.745792026,952576.410209085,952766.805885628
952657.739780585,952657.780322854,952723.986326205,952902.925333361
952269.249269131,952269.305941463,952357.45492649,952577.279785814
952854.498100915,952854.541438569,952899.884387705,953022.645377487
952273.274955864,952273.306742715,952373.213004359,952600.34007228
952650.128429198,952650.166227205,952697.135747253,952854.215706897
952264.506808504,952264.551084995,952316.630354938,952461.294281084
952506.90208383,952506.944790729,952579.873378887,952775.293106657
952600.414483428,952600.448097955,952648.805197,952887.317684738
952530.290053869,952530.332564648,952579.627214695,952795.846896222
952687.674061514,952687.724857512,952765.857328808,953017.676935456
952660.910080245,952660.984431699,952734.87741525,952956.493934576
952488.302073505,952488.353616163,952549.277183719,952666.099724246
952272.478310954,952272.533515727,952369.593321781,952551.349209912
952689.331004581,952689.368722112,952740.139631658,952950.27089414
952392.338515747,952392.40455217,952474.293922513,952641.032416804
952254.577162995,952254.593544846,952294.106572064,952372.721339616
952474.194444786,952474.231943337,952523.894628519,952688.878454305
952266.338439961,952266.377436239,952341.015897876,952569.296978523
952460.04206559,952460.080824588,952496.481899278,952622.53402781
952547.637988772,952547.679951301,952601.812418836,952723.315664313
952541.602833243,952541.638233949,952588.043839226,952664.098696991
952263.358875429,952263.392518501,952352.751075923,952545.137135815
952612.002518964,952612.059615602,952668.978759071,952816.000491845
952434.795827097,952434.829349662,952471.709212438,952602.819829991
952259.359675641,952259.389108948,952298.929550642,952436.721563987
952593.248829101,952593.284408364,952650.865914627,952795.377405033
952486.418028574,952486.457348957,952573.520387429,952703.215206872
952260.606164482,952260.62757584,952305.849366433,952384.508275987
952744.938536884,952744.974762016,952805.873659671,953006.437280908
952798.958648618,952798.992777284,952845.344509283,952955.718628982
952511.32243155,952511.373051559,952550.546034486,952700.10463904
952617.600359473,952617.640527357,952671.712608827,952807.148231074
952753.052655819,952753.091060154,952801.364988075,952955.011202685
952262.040079195,952262.072473291,952323.128082412,952481.766224757
952810.521988959,952810.560771041,952859.406891941,952941.050740943
952715.274032037,952715.320653312,952794.337891729,952974.026583419
952265.861218427,952265.917851042,952319.080382023,952499.299741249
952271.76310613,952271.82012892,952354.482597323,952614.027096041
952499.320325799,952499.353703068,952567.056014124,952707.912837812
952275.615486261,952275.708159417,952373.563883602,952505.468127184
952454.384456539,952454.427243379,952519.623788575,952687.443902848
952850.102051037,952850.160174547,952927.271628536,953076.995227777
952499.939871128,952499.978729249,952548.855137419,952670.104441897
952262.515139606,952262.536061414,952336.69382929,952477.075098337
952265.488535994,952265.522872121,952350.386050102,952567.249063483
952250.029191172,952250.042813234,952283.01363893,952414.976184124
952891.510440239,952891.590008207,952952.248764786,953061.958175241
952263.603040945,952263.65105307,952303.721158329,952450.846161407
952852.642100406,952852.685275626,952911.317140429,953068.278400755
952562.520434436,952562.557178369,952610.399222557,952726.896400737
952763.354105189,952763.395931635,952830.261232929,953056.621219903
952275.582845317,952275.678373476,952334.862316245,952534.464581213
952505.426484344,952505.492597858,952567.715360148,952689.711637091
952502.664945142,952502.713609958,952574.271067631,952735.337493327
952600.615083941,952600.652808971,952667.913753213,952772.517788211
952251.398978947,952251.414109517,952287.832075738,952374.200513321
952257.502643586,952257.520001924,952314.520280358,952458.535042184
952667.038421547,952667.080394165,952710.20822898,952790.551404659
952534.098420018,952534.132961991,952570.648384991,952733.518051636
952649.770136893,952649.801592577,952711.846029088,952823.442998254
952720.802998023,952720.837500193,952791.399279484,952957.001761089
952263.155903497,952263.178859446,952303.602641321,952464.255065937
952260.942326838,952260.972840797,952326.111256735,952470.226432906
952737.860012729,952737.904040153,952805.943047107,953000.517240443
952274.320138079,952274.383458312,952347.614803516,952560.174193859
